portid,1,2,3,4,5,6,7,8,9,10,11
BDCGP,49.75555555558336,49.75555555558336,49.75555555558336,49.75555555558336,54.980803571400806,52.5,52.5,52.5,52.5,52.5,52.5
CNDLC,1.59999999997672,1.9063666044678584,2.20158700170364,2.506250000016732,3.852041785340829,1.4111111111124055,2.03888888885558,2.043703703652133,2.043703703652133,2.043703703652133,2.043703703652133
CNLYG,0.500000000058208,0.500000000058208,0.500000000058208,0.500000000058208,1.9316666666418305,1.48915520620659,1.00000000011642,3.9238425926310168,3.9238425926310168,3.9238425926310168,3.9238425926310168
CNNGB,0.6500000000232855,5.931299191987352,11.020454545464336,17.93826388888919,17.28893022487176,22.422979797994202,14.095520282175881,11.624194378827202,14.725486111112332,15.081287078934368,20.073700672375015
CNNSA,7.93333333334886,7.93333333334886,7.93333333334886,8.896714361426572,10.795037105739851,6.114383012874621,6.201990740728313,7.536111111082939,13.590925925978805,8.008333333322659,4.650023809491208
CNQZJ,2.340000000048897,2.340000000048897,2.340000000048897,2.340000000048897,2.340000000048897,2.340000000048897,2.340000000048897,2.3444444444758115,2.3444444444758115,2.3444444444758115,2.3444444444758115
CNSHA,25.919999999998264,13.789146938991346,2.0996376811931645,29.003381642548405,36.659088827828775,31.836324786314684,29.97338888887019,27.236886505749933,36.219866171844146,21.080387426913,29.06903335681095
CNSHK,5.641666666721,5.641666666721,5.641666666721,10.064662939397307,8.586192978994045,8.355965909096499,11.745448532959868,6.983267195755673,6.088821733821862,3.9761936026726397,4.688940634027616
CNSWA,7.928571428558953,7.928571428558953,7.928571428558953,7.928571428558953,7.928571428558953,3.3649999999848643,2.01871794870956,1.249999999953436,1.249999999953436,1.249999999953436,1.249999999953436
CNTAO,2.70000000006985,10.10773320899753,17.245958813543062,24.612499999988373,21.213333333358616,23.28220899473499,15.654537037039697,19.697239843470985,9.45680555557337,20.71167800452106,17.751952614374073
CNTXG,1.1416666666627857,1.0261629353168784,0.9148614522234755,0.799999999988358,17.409567901258296,3.4055555555387396,11.70477207980216,6.965451388887231,16.350000000034914,12.03665178574371,7.148190476213675
CNXMN,14.37500000000001,14.37500000000001,14.37500000000001,14.37500000000001,14.37500000000001,2.8000000000065475,3.191388888913205,1.5652777777650044,4.303030303009638,4.213425925913421,4.576190476181051
CNYPG,14.52083333334302,14.52083333334302,14.52083333334302,14.52083333334302,14.52083333334302,14.52083333334302,6.710000000009319,6.710000000009319,6.710000000009319,6.710000000009319,6.710000000009319
HKHKG,1.395555555556589,1.395555555556589,1.395555555556589,1.395555555556589,1.4345566502555003,0.9933035714233744,2.4778133903224115,0.6562499999945439,0.7166666666162206,1.6187499999832666,0.8208333333410939
IDBLW,28.45666666663019,28.45666666663019,28.45666666663019,2.367857142854648,2.367857142854648,2.367857142854648,2.367857142854648,2.367857142854648,2.367857142854648,2.367857142854648,2.367857142854648
IDJKT,0.200000000128057,0.200000000128057,3.074999999997086,3.5624999999805986,2.024074074097574,2.7199999999778814,4.773148148162973,10.525921201810354,10.525921201810354,10.525921201810354,10.525921201810354
IDSRG,7.03333333338378,7.03333333338378,1.5,9.535204244505273,21.62023809525168,21.62023809525168,21.62023809525168,21.62023809525168,21.62023809525168,21.62023809525168,21.62023809525168
IDSUB,12.24888888889691,12.24888888889691,12.24888888889691,7.450000000055297,13.75416666670936,6.908333333354676,18.166666666692308,5.397908399470648,5.397908399470648,5.397908399470648,5.397908399470648
JPHKT,4.24298245613892,4.24298245613892,4.24298245613892,4.914705882318024,4.914705882318024,4.914705882318024,4.914705882318024,4.914705882318024,4.914705882318024,4.914705882318024,4.914705882318024
JPMOJ,9.839166666642997,9.839166666642997,9.839166666642997,9.839166666642997,9.839166666642997,9.839166666642997,9.839166666642997,9.839166666642997,9.839166666642997,9.839166666642997,9.839166666642997
JPNGO,0.9039351851873408,0.9039351851873408,0.9039351851873408,0.9039351851873408,0.8838888888742076,9.870833333334302,2.539393939384769,2.539393939384769,2.539393939384769,2.539393939384769,2.539393939384769
JPOIT,8.466666666643608,8.466666666643608,8.466666666643608,8.466666666643608,8.466666666643608,8.466666666643608,8.466666666643608,8.466666666643608,8.466666666643608,8.466666666643608,8.466666666643608
JPOMZ,0.433333333348855,0.433333333348855,0.433333333348855,0.433333333348855,0.433333333348855,0.5324999999720601,3.2795454545676805,3.2795454545676805,3.2795454545676805,3.2795454545676805,3.2795454545676805
JPOSA,1.095238095215922,1.095238095215922,1.095238095215922,1.095238095215922,0.833333333255723,1.1167439995959052,1.4300280957081966,1.9326388889749075,1.9326388889749075,1.9326388889749075,1.9326388889749075
JPSBS,7.815686274491086,7.815686274491086,7.815686274491086,7.815686274491086,7.815686274491086,7.815686274491086,7.815686274491086,7.815686274491086,7.815686274491086,7.815686274491086,7.815686274491086
JPTYO,15.9999999999418,15.9999999999418,15.9999999999418,1.967384370042204,1.0740740740487427,0.9083333333731964,1.5893939393678336,1.5893939393678336,1.5893939393678336,1.5893939393678336,1.5893939393678336
JPUKB,0.5194444444554397,0.5194444444554397,0.5194444444554397,0.5194444444554397,1.119999999948777,0.8766666667128454,0.32196969700321043,0.32196969700321043,0.32196969700321043,0.32196969700321043,0.32196969700321043
JPYKK,0.400000000081491,0.400000000081491,0.400000000081491,0.400000000081491,0.400000000081491,0.6266666666575474,8.751515151538584,8.751515151538584,8.751515151538584,8.751515151538584,8.751515151538584
JPYOK,2.125850340137638,2.125850340137638,2.125850340137638,2.125850340137638,1.478787878782239,6.065000000019791,20.822727272728866,1.8991529304035835,0.9240740740788181,0.5277777777228037,3.999999999976725
KHKOS,14.360416666633675,14.360416666633675,14.360416666633675,5.129487179510756,72.9999999999418,72.9999999999418,72.9999999999418,72.9999999999418,72.9999999999418,72.9999999999418,72.9999999999418
KRICH,1.64999999996508,1.64999999996508,1.64999999996508,2.119999999983702,1.6759259259043677,0.916666666686069,1.043333333346528,3.0,2.41666666668607,2.41666666668607,2.41666666668607
KRKAN,0.4849999999743886,2.6234458441819712,4.684090909079797,1.338333333321498,4.680000000027931,2.983574132649703,1.108333333331393,0.350000000093132,1.4013888889312525,1.5916666666453232,2.340277777781005
KRPUS,10.54318181819558,10.54318181819558,10.54318181819558,1.9460470085366968,1.6307407406799044,1.0208333333430355,3.5489786756608304,1.6313579277933579,2.043224246521095,2.194074074066217,4.7473737373772185
MMRGN,3.820833333323026,3.820833333323026,3.820833333323026,3.7678661616181714,3.0,3.0,3.0,3.0,3.0,3.0,3.0
MYPEN,2.683333333348855,2.683333333348855,2.683333333348855,2.683333333348855,2.683333333348855,33.28194444450494,4.353229166679371,4.353229166679371,4.353229166679371,4.353229166679371,4.353229166679371
MYPKG,22.676736111105136,22.676736111105136,22.676736111105136,16.75470899469746,16.088887520527337,10.960563725479602,19.34785473785926,8.446281565663133,12.956770833328848,10.963333333320914,18.341049382737978
PHBTG,2.117857142862964,2.117857142862964,2.117857142862964,2.117857142862964,2.973333333333722,2.973333333333722,2.973333333333722,2.973333333333722,2.973333333333722,2.973333333333722,2.973333333333722
PHCEB,1.508695652164296,1.508695652164296,1.508695652164296,6.078571428565612,2.2161616162047744,0.6416666666627865,0.6416666666627865,0.6416666666627865,0.6416666666627865,0.6416666666627865,0.6416666666627865
PHCGY,1.520454545441847,1.520454545441847,1.520454545441847,1.7416666666467768,3.790909090915442,3.790909090915442,3.790909090915442,3.790909090915442,3.790909090915442,3.790909090915442,3.790909090915442
PHDVO,0.6699999999953434,0.6699999999953434,0.6699999999953434,3.705555555570756,10.769444444435067,0.8904166666659874,0.5722222221666017,0.700000000011642,0.700000000011642,0.700000000011642,0.700000000011642
PHGES,6.869999999983699,6.869999999983699,6.869999999983699,6.869999999983699,6.869999999983699,6.869999999983699,6.869999999983699,6.869999999983699,6.869999999983699,6.869999999983699,6.869999999983699
PHMNL,9.363043478263648,9.363043478263648,9.363043478263648,20.33209876544747,15.13059175716668,13.7166666666657,9.023437500001092,9.12924908422731,9.12924908422731,9.12924908422731,9.12924908422731
PHSFS,8.936904761898663,8.936904761898663,8.936904761898663,8.936904761898663,5.66699905033894,5.66699905033894,5.66699905033894,5.66699905033894,5.66699905033894,5.66699905033894,5.66699905033894
SGSIN,39.51736111110222,39.51736111110222,5.378333890364148,3.8726447747872133,2.0079301203009514,3.504560136202305,2.7984361074105726,3.9766402663017586,2.8641972832687475,2.125891969152106,1.873197107106599
THBKK,6.712777777765104,6.712777777765104,6.712777777765104,7.480402930427318,12.38939393939324,12.38939393939324,12.38939393939324,12.38939393939324,12.38939393939324,12.38939393939324,12.38939393939324
THLCH,15.795833333321932,15.795833333321932,15.795833333321932,9.320073823816637,4.898253968277658,12.652976190471762,21.598148148099423,6.649999999994184,12.4916666666104,6.108333333337205,5.373148148136566
TWKEL,0.8340909090951425,0.8340909090951425,0.8340909090951425,2.39583333332848,1.743333333323245,1.682511096195639,1.615277777746086,1.111111111124044,1.111111111124044,1.111111111124044,1.111111111124044
